scenario,region,variables,unit,2019,2050
Extensive reindustrialization - M1,FR,Production|Hydrogen|Chemicals|Co-produced|Oil refining,TWh/year,0,0
Extensive reindustrialization - M1,FR,Production|Hydrogen|Chemicals|Co-produced|Chlore,TWh/year,0,0
Extensive reindustrialization - M1,FR,Production|Hydrogen|Chemicals|Co-produced|Chemicals,TWh/year,0.6,0.6
Extensive reindustrialization - M1,FR,Production|Hydrogen|Chemicals|Co-produced|Ammonia,TWh/year,0,0
Extensive reindustrialization - M1,FR,Production|Hydrogen|Steel|Electrolysis,TWh/year,5,5
Extensive reindustrialization - M1,FR,Production|Hydrogen|Steel|Steam methane reforming,TWh/year,0,0
Extensive reindustrialization - M1,FR,Production|Hydrogen|Steel|Co-produced|Coking,TWh/year,0,0
Extensive reindustrialization - M1,FR,Production|Hydrogen|Steel|Co-produced|Oil refining,TWh/year,0,0
Extensive reindustrialization - M1,FR,Production|Hydrogen|Steel|Co-produced|Chlore,TWh/year,0,0
Extensive reindustrialization - M1,FR,Production|Hydrogen|Steel|Co-produced|Chemicals,TWh/year,0,0
Extensive reindustrialization - M1,FR,Production|Hydrogen|Steel|Co-produced|Ammonia,TWh/year,0,0
Extensive reindustrialization - M1,FR,Production|Hydrogen|Others|Electrolysis,TWh/year,0.3,0.3
Extensive reindustrialization - M1,FR,Production|Hydrogen|Others|Steam methane reforming,TWh/year,0,0
Extensive reindustrialization - M1,FR,Production|Hydrogen|Others|Co-produced|Coking,TWh/year,0,0
Extensive reindustrialization - M1,FR,Production|Hydrogen|Others|Co-produced|Oil refining,TWh/year,0,0
Extensive reindustrialization - M1,FR,Production|Hydrogen|Others|Co-produced|Chlore,TWh/year,0,0
Extensive reindustrialization - M1,FR,Production|Hydrogen|Others|Co-produced|Chemicals,TWh/year,0,0
Extensive reindustrialization - M1,FR,Production|Hydrogen|Others|Co-produced|Ammonia,TWh/year,0,0
Extensive reindustrialization - M23,FR,Distribution losses|Gaseous fuel|Low to high,PJ/year,0.9975,0.9975
Extensive reindustrialization - M23,FR,Efficiency|Electricity|Hydrogen|Fuel cell,%,50,64
Extensive reindustrialization - M23,FR,Production|Electricity|Low to medium,TWh/year,1,1
Extensive reindustrialization - M23,FR,Production|Electricity|Medium to high,TWh/year,1,1
Extensive reindustrialization - M23,FR,Production|Electricity|Import,TWh/year,30.72025932,30.72025932
Extensive reindustrialization - M23,FR,Consumption|Electricity|Export,TWh/year,47.92025932,47.92025932
Extensive reindustrialization - M23,FR,Production|Electricity|Total without production from flexibility,TWh/year,804.6,804.6
Extensive reindustrialization - M23,FR,Production|Electricity|Conventional|Coal,TWh/year,0,0
Extensive reindustrialization - M23,FR,Production|Electricity|Conventional|Fuel oil,TWh/year,0,0
Extensive reindustrialization - M23,FR,Production|Electricity|Conventional|Natural gas,TWh/year,0.470221067,0.470221067
Extensive reindustrialization - M23,FR,Production|Electricity|Conventional|Waste,TWh/year,1.69279584,1.69279584
Extensive reindustrialization - M23,FR,Production|Electricity|Hydro|Reservoir,TWh/year,9.434515484,9.434515484
Extensive reindustrialization - M23,FR,Production|Electricity|Run-of-river hydro,TWh/year,49.53120629,49.53120629
Extensive reindustrialization - M23,FR,Production|Electricity|Nuclear|Evolutionary Power Reactor,TWh/year,0,0
Extensive reindustrialization - M23,FR,Production|Electricity|Nuclear|Pressure water reactor,TWh/year,85.01596888,85.01596888
Extensive reindustrialization - M23,FR,Production|Electricity|Nuclear|Small Modular Reactor,TWh/year,0,0
Extensive reindustrialization - M23,FR,Production|Electricity|Renewable|Biomass,TWh/year,9.216332909,9.216332909
Extensive reindustrialization - M23,FR,Production|Electricity|Renewable|Photovoltaic,TWh/year,171.3485567,171.3485567
Extensive reindustrialization - M23,FR,Production|Electricity|Renewable|Sea,TWh/year,8.181846562,8.181846562
Extensive reindustrialization - M23,FR,Production|Electricity|Renewable|Wind turbines|Offshore,TWh/year,259.8441615,259.8441615
Extensive reindustrialization - M23,FR,Production|Electricity|Renewable|Wind turbines|Onshore,TWh/year,161.9441354,161.9441354
Extensive reindustrialization - M23,FR,Production|Electricity|Storage|Hydro|Pumped storage,TWh/year,15.8,15.8
Extensive reindustrialization - M23,FR,Production|Electricity|Storage|Hydrogen,TWh/year,10,10
Extensive reindustrialization - M23,FR,Production|Gaseous fuel|Biomethane,%,100,100
Extensive reindustrialization - M23,FR,Production|Gaseous fuel|CNG,%,0,0
Extensive reindustrialization - M23,FR,Production|Gaseous fuel|LNG,%,0,0
Extensive reindustrialization - M23,FR,Production|Gaseous fuel|Low to high,%,1,1
Extensive reindustrialization - M23,FR,Production|Liquid fuel|Diesel|Biodiesel,%,100,100
