scenario;region;variables;unit;2019;2040
Extensive reindustrialization - M1;FR;Production|Hydrogen|Chemicals|Co-produced|Coking;TWh/year;0;0
Extensive reindustrialization - M1;FR;Production|Hydrogen|Chemicals|Co-produced|Oil refining;TWh/year;0;0
Extensive reindustrialization - M1;FR;Production|Hydrogen|Chemicals|Co-produced|Chlore;TWh/year;0;0
Extensive reindustrialization - M1;FR;Production|Hydrogen|Chemicals|Co-produced|Chemicals;TWh/year;0.6;0.6
Extensive reindustrialization - M1;FR;Production|Hydrogen|Chemicals|Co-produced|Ammonia;TWh/year;0;0
Extensive reindustrialization - M1;FR;Production|Hydrogen|Steel|Electrolysis;TWh/year;2;2
Extensive reindustrialization - M1;FR;Production|Hydrogen|Steel|Steam methane reforming;TWh/year;0;0
Extensive reindustrialization - M1;FR;Production|Hydrogen|Steel|Co-produced|Coking;TWh/year;0;0
Extensive reindustrialization - M1;FR;Production|Hydrogen|Steel|Co-produced|Oil refining;TWh/year;0;0
Extensive reindustrialization - M1;FR;Production|Hydrogen|Steel|Co-produced|Chlore;TWh/year;0;0
Extensive reindustrialization - M1;FR;Production|Hydrogen|Steel|Co-produced|Chemicals;TWh/year;0;0
Extensive reindustrialization - M1;FR;Production|Hydrogen|Steel|Co-produced|Ammonia;TWh/year;0;0
Extensive reindustrialization - M1;FR;Production|Hydrogen|Others|Electrolysis;TWh/year;0.3;0.3
Extensive reindustrialization - M1;FR;Production|Hydrogen|Others|Steam methane reforming;TWh/year;0;0
Extensive reindustrialization - M1;FR;Production|Hydrogen|Others|Co-produced|Coking;TWh/year;0;0
Extensive reindustrialization - M1;FR;Production|Hydrogen|Others|Co-produced|Oil refining;TWh/year;0;0
Extensive reindustrialization - M1;FR;Production|Hydrogen|Others|Co-produced|Chlore;TWh/year;0;0
Extensive reindustrialization - M1;FR;Production|Hydrogen|Others|Co-produced|Chemicals;TWh/year;0;0
Extensive reindustrialization - M1;FR;Production|Hydrogen|Others|Co-produced|Ammonia;TWh/year;0;0
Extensive reindustrialization - M23;FR;Distribution losses|Gaseous fuel|Low to high;PJ/year;0.9975;0.9975
Extensive reindustrialization - M23;FR;Efficiency|Electricity|Hydrogen|Fuel cell;%;50;62
Extensive reindustrialization - M23;FR;Production|Electricity|Low to medium;TWh/year;1;1
Extensive reindustrialization - M23;FR;Production|Electricity|Medium to high;TWh/year;1;1
Extensive reindustrialization - M23;FR;Production|Electricity|Import;TWh/year;8.059679767;8.059679767
Extensive reindustrialization - M23;FR;Consumption|Electricity|Export;TWh/year;87.15967977;87.15967977
Extensive reindustrialization - M23;FR;Production|Electricity|Total without production from flexibility;TWh/year;710.4;710.4
Extensive reindustrialization - M23;FR;Production|Electricity|Conventional|Coal;TWh/year;0;0
Extensive reindustrialization - M23;FR;Production|Electricity|Conventional|Fuel oil;TWh/year;0;0
Extensive reindustrialization - M23;FR;Production|Electricity|Conventional|Natural gas;TWh/year;3.684697839;3.684697839
Extensive reindustrialization - M23;FR;Production|Electricity|Conventional|Waste;TWh/year;1.579156217;1.579156217
Extensive reindustrialization - M23;FR;Production|Electricity|Hydro|Reservoir;TWh/year;8.815200926;8.815200926
Extensive reindustrialization - M23;FR;Production|Electricity|Run-of-river hydro;TWh/year;46.27980486;46.27980486
Extensive reindustrialization - M23;FR;Production|Electricity|Nuclear|Evolutionary Power Reactor;TWh/year;0;0
Extensive reindustrialization - M23;FR;Production|Electricity|Nuclear|Pressure water reactor;TWh/year;218.713136;218.713136
Extensive reindustrialization - M23;FR;Production|Electricity|Nuclear|Small Modular Reactor;TWh/year;0;0
Extensive reindustrialization - M23;FR;Production|Electricity|Renewable|Biomass;TWh/year;8.597628291;8.597628291
Extensive reindustrialization - M23;FR;Production|Electricity|Renewable|Photovoltaic;TWh/year;98.78499445;98.78499445
Extensive reindustrialization - M23;FR;Production|Electricity|Renewable|Sea;TWh/year;3.77242874;3.77242874
Extensive reindustrialization - M23;FR;Production|Electricity|Renewable|Wind turbines|Offshore;TWh/year;127.9993845;127.9993845
Extensive reindustrialization - M23;FR;Production|Electricity|Renewable|Wind turbines|Onshore;TWh/year;105.0138884;105.0138884
Extensive reindustrialization - M23;FR;Production|Electricity|Storage|Hydro|Pumped storage;TWh/year;11.7;11.7
Extensive reindustrialization - M23;FR;Production|Electricity|Storage|Hydrogen;TWh/year;2.7;2.7
Extensive reindustrialization - M23;FR;Production|Gaseous fuel|Biomethane;%;54;54
Extensive reindustrialization - M23;FR;Production|Gaseous fuel|CNG;%;26.2;26.2
Extensive reindustrialization - M23;FR;Production|Gaseous fuel|LNG;%;19.8;19.8
Extensive reindustrialization - M23;FR;Production|Gaseous fuel|Low to high;%;1;1
Extensive reindustrialization - M23;FR;Production|Liquid fuel|Diesel|Biodiesel;%;56;56
Extensive reindustrialization - M23;FR;Production|Liquid fuel|Diesel|Diesel;%;44;44
Extensive reindustrialization - M23;FR;Production|Liquid fuel|Petrol|Bioethanol;%;56;56
Extensive reindustrialization - M23;FR;Production|Liquid fuel|Petrol|Petrol;%;44;44
Extensive reindustrialization - M23;FR;Production|Hydrogen|Refineries|Electrolysis;TWh/year;2.3;2.3
Extensive reindustrialization - M23;FR;Production|Hydrogen|Refineries|Steam methane reforming;TWh/year;0;0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Refineries|Co-produced|Coking;TWh/year;0;0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Refineries|Co-produced|Oil refining;TWh/year;4.9;4.9
Extensive reindustrialization - M23;FR;Production|Hydrogen|Refineries|Co-produced|Chlore;TWh/year;0;0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Refineries|Co-produced|Chemicals;TWh/year;0;0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Refineries|Co-produced|Ammonia;TWh/year;0;0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Ammonia|Electrolysis;TWh/year;5.5;5.5
Extensive reindustrialization - M23;FR;Production|Hydrogen|Ammonia|Steam methane reforming;TWh/year;0;0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Ammonia|Co-produced|Coking;TWh/year;0;0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Ammonia|Co-produced|Oil refining;TWh/year;0;0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Ammonia|Co-produced|Chlore;TWh/year;0;0
