scenario,region,variables,unit,2019,2030,2040,2050,2060
Reference - N2,FR,Consumption|Electricity|Export,TWh/year,58.73590664,78.30297741,45.65584608,42.31518072,68.64462651
Reference - N2,FR,Production|Electricity|Total without production from flexibility,TWh/year,532.9,584.3,606.5,670.1,681.1
Reference - N2,FR,Production|Electricity|Conventional|Coal,TWh/year,1.423648995,0,0,0,0
Reference - N2,FR,Production|Electricity|Conventional|Fuel oil,TWh/year,2.04649543,0,0,0,0
Reference - N2,FR,Production|Electricity|Conventional|Natural gas,TWh/year,34.345532,24.07447754,4.716084394,0.374740976,0
Reference - N2,FR,Production|Electricity|Conventional|Waste,TWh/year,1.957517368,1.905174482,1.664500374,1.68633439,1.618587098
Reference - N2,FR,Production|Electricity|Hydro|Reservoir,TWh/year,7.687704572,8.701451451,9.291610979,9.398503667,9.020925425
Reference - N2,FR,Production|Electricity|Run-of-river hydro,TWh/year,40.36044901,45.68262012,48.78095764,49.34214425,47.35985848
Reference - N2,FR,Production|Electricity|Nuclear|Evolutionary Power Reactor,TWh/year,0,0,41.24262039,149.2405935,218.8689442
Reference - N2,FR,Production|Electricity|Nuclear|Pressure water reactor,TWh/year,337.2268557,305.6073066,239.3181649,87.22096206,9.621601081
Reference - N2,FR,Production|Electricity|Nuclear|Small Modular Reactor,TWh/year,0,0,0,0,0
Reference - N2,FR,Production|Electricity|Renewable|Biomass,TWh/year,8.630872032,8.313488648,9.062279816,9.181153901,8.812307532
Reference - N2,FR,Production|Electricity|Renewable|Photovoltaic,TWh/year,10.32145521,36.63130935,68.98429329,103.1474535,102.3306732
Reference - N2,FR,Production|Electricity|Renewable|Sea,TWh/year,0,0,0,0,0
Reference - N2,FR,Production|Electricity|Renewable|Wind turbines|Offshore,TWh/year,0,15.93418657,62.04887507,120.9476499,118.7863087
Reference - N2,FR,Production|Electricity|Renewable|Wind turbines|Onshore,TWh/year,30.16356308,59.14700777,75.73476703,97.24528315,96.0361678
Reference - N2,FR,Production|Electricity|Storage|Hydro|Pumped storage,TWh/year,5.5,2.8,10.8,14.2,14.6
Reference - N2,FR,Production|Electricity|Storage|Hydrogen,TWh/year,0,0,1.7,1.9,1.5
Reference - N2,FR,Production|Gaseous fuel|Biomethane,%,0.1,12,54,100,100
Reference - N2,FR,Production|Gaseous fuel|CNG,%,56.9,50.2,26.2,0,0
Reference - N2,FR,Production|Gaseous fuel|LNG,%,43,37.8,19.8,0,0
Reference - N2,FR,Production|Gaseous fuel|Low to high,%,1,1,1,1,1
Reference - N2,FR,Production|Liquid fuel|Diesel|Biodiesel,%,7,12,56,100,100
Reference - N2,FR,Production|Liquid fuel|Diesel|Diesel,%,93,88,44,0,0
Reference - N2,FR,Production|Liquid fuel|Petrol|Bioethanol,%,7,12,56,100,100
Reference - N2,FR,Production|Liquid fuel|Petrol|Petrol,%,93,88,44,0,0
Reference - N03,FR,Distribution losses|Electricity|Low to medium,TWh/year,1,0.973,0.973,0.973,0.973
Reference - N03,FR,Distribution losses|Gaseous fuel|Low to high,PJ/year,1,0.9975,0.9975,0.9975,0.9975
Reference - N03,FR,Transmission losses|Electricity|Medium to high,TWh/year,1,0.935,0.935,0.935,0.935
Reference - N03,FR,Efficiency|Electricity|Hydrogen|Fuel cell,%,50,58,62,64,65
Reference - N03,FR,Production|Electricity|Low to medium,TWh/year,1,1,1,1,1
Reference - N03,FR,Production|Electricity|Medium to high,TWh/year,1,1,1,1,1
Reference - N03,FR,Production|Electricity|Import,TWh/year,2.035906643,3.611396304,5.922826855,23.55480363,52.83915408
Reference - N03,FR,Consumption|Electricity|Export,TWh/year,58.73590664,97.4113963,83.52282686,38.35480363,86.03915408
Reference - N03,FR,Production|Electricity|Total without production from flexibility,TWh/year,532.9,602.8,647.5,663.1,681.5
Reference - N03,FR,Production|Electricity|Conventional|Coal,TWh/year,1.423648995,0,0,0,0
Reference - N03,FR,Production|Electricity|Conventional|Fuel oil,TWh/year,2.04649543,0,0,0,0
Reference - N03,FR,Production|Electricity|Conventional|Natural gas,TWh/year,34.345532,20.87620476,1.654913713,0,0
Reference - N03,FR,Production|Electricity|Conventional|Waste,TWh/year,1.957517368,1.844483955,1.567812991,1.695885015,1.572750584
Reference - N03,FR,Production|Electricity|Hydro|Reservoir,TWh/year,7.687704572,8.424261264,8.751880518,9.451732484,8.765463252
Reference - N03,FR,Production|Electricity|Run-of-river hydro,TWh/year,40.36044901,44.22737164,45.94737272,49.62159554,46.01868207
Reference - N03,FR,Production|Electricity|Nuclear|Evolutionary Power Reactor,TWh/year,0,0,38.06301539,152.9122989,239.931839
Reference - N03,FR,Production|Electricity|Nuclear|Pressure water reactor,TWh/year,337.2268557,313.8137929,284.2967557,140.5700246,23.85338385
Reference - N03,FR,Production|Electricity|Nuclear|Small Modular Reactor,TWh/year,0,0,5.835748355,25.43827523,36.69751362
Reference - N03,FR,Production|Electricity|Renewable|Biomass,TWh/year,8.630872032,8.048657259,8.535870729,9.233151748,8.562753177
Reference - N03,FR,Production|Electricity|Renewable|Photovoltaic,TWh/year,10.32145521,35.46439605,56.70256984,80.74296988,74.88040278
Reference - N03,FR,Production|Electricity|Renewable|Sea,TWh/year,0,0,0,0,0
Reference - N03,FR,Production|Electricity|Renewable|Wind turbines|Offshore,TWh/year,0,15.42659308,44.16006591,73.39413482,79.42390447
Reference - N03,FR,Production|Electricity|Renewable|Wind turbines|Onshore,TWh/year,30.16356308,57.26284279,68.46116727,81.68512822,75.75415311
Reference - N03,FR,Production|Electricity|Storage|Hydro|Pumped storage,TWh/year,5.5,2.8,10.8,14.2,14.6
Reference - N03,FR,Production|Electricity|Storage|Hydrogen,TWh/year,0,0,0,0,0
Reference - N03,FR,Production|Gaseous fuel|Biomethane,%,0.1,12,54,100,100
Reference - N03,FR,Production|Gaseous fuel|CNG,%,56.9,50.2,26.2,0,0
Reference - N03,FR,Production|Gaseous fuel|LNG,%,43,37.8,19.8,0,0
Reference - N03,FR,Production|Gaseous fuel|Low to high,%,1,1,1,1,1
Reference - N03,FR,Production|Liquid fuel|Diesel|Biodiesel,%,7,12,56,100,100
Reference - N03,FR,Production|Liquid fuel|Diesel|Diesel,%,93,88,44,0,0
Reference - N03,FR,Production|Liquid fuel|Petrol|Bioethanol,%,7,12,56,100,100
Reference - N03,FR,Production|Liquid fuel|Petrol|Petrol,%,93,88,44,0,0
Sobriety - M0,FR,Distribution losses|Electricity|Low to medium,TWh/year,1,0.973,0.973,0.973,0.973
Sobriety - M0,FR,Distribution losses|Gaseous fuel|Low to high,PJ/year,1,0.9975,0.9975,0.9975,0.9975
Sobriety - M0,FR,Transmission losses|Electricity|Medium to high,TWh/year,1,0.935,0.935,0.935,0.935
Sobriety - M0,FR,Efficiency|Electricity|Hydrogen|Fuel cell,%,50,58,62,64,65
Sobriety - M0,FR,Production|Electricity|Low to medium,TWh/year,1,1,1,1,1
Sobriety - M0,FR,Production|Electricity|Medium to high,TWh/year,1,1,1,1,1
Sobriety - M0,FR,Production|Electricity|Import,TWh/year,2.035906643,2.591119097,8.331281392,43.43347193,101.5727651
Sobriety - M0,FR,Consumption|Electricity|Export,TWh/year,58.73590664,69.8911191,90.03128139,56.13347193,131.2727651
Sobriety - M0,FR,Production|Electricity|Total without production from flexibility,TWh/year,532.9,570.6,608.3,617.2,632.1
Sobriety - M0,FR,Production|Electricity|Conventional|Coal,TWh/year,1.423648995,0.702010348,0,0,0
Sobriety - M0,FR,Production|Electricity|Conventional|Fuel oil,TWh/year,2.04649543,1.009139876,0,0,0
Sobriety - M0,FR,Production|Electricity|Conventional|Natural gas,TWh/year,34.345532,18.9542794,3.919178211,0.454525703,0
Sobriety - M0,FR,Production|Electricity|Conventional|Waste,TWh/year,1.957517368,1.755025871,1.533591474,1.636292532,1.42618102
Sobriety - M0,FR,Production|Electricity|Hydro|Reservoir,TWh/year,7.687704572,8.199480868,8.560848405,9.134148532,7.961259383
Sobriety - M0,FR,Production|Electricity|Run-of-river hydro,TWh/year,40.36044901,43.04727456,44.94445412,47.95427979,41.79661176
Sobriety - M0,FR,Production|Electricity|Nuclear|Evolutionary Power Reactor,TWh/year,0,0,0,0,0
Sobriety - M0,FR,Production|Electricity|Nuclear|Pressure water reactor,TWh/year,337.2268557,253.3379844,169.0358602,0,0
Sobriety - M0,FR,Production|Electricity|Nuclear|Small Modular Reactor,TWh/year,0,0,0,0,0
Sobriety - M0,FR,Production|Electricity|Renewable|Biomass,TWh/year,8.630872032,8.555751119,8.349553579,8.908703783,7.764763332
Sobriety - M0,FR,Production|Electricity|Renewable|Photovoltaic,TWh/year,10.32145521,60.24126301,107.0958046,192.627993,172.6471357
Sobriety - M0,FR,Production|Electricity|Renewable|Sea,TWh/year,0,1.886652811,3.663579632,7.908747236,9.111712073
Sobriety - M0,FR,Production|Electricity|Renewable|Wind turbines|Offshore,TWh/year,0,44.44603017,86.30712016,169.2653719,150.7790267
Sobriety - M0,FR,Production|Electricity|Renewable|Wind turbines|Onshore,TWh/year,30.16356308,58.57398843,84.85872822,123.1764656,109.3405449
Sobriety - M0,FR,Production|Electricity|Storage|Hydro|Pumped storage,TWh/year,5.5,9.5,13.5,16.3,16.2
Sobriety - M0,FR,Production|Electricity|Storage|Hydrogen,TWh/year,0,0,0,10.4,9.7
Sobriety - M0,FR,Production|Gaseous fuel|Biomethane,%,0.1,12,54,100,100
Sobriety - M0,FR,Production|Gaseous fuel|CNG,%,56.9,50.2,26.2,0,0
Sobriety - M0,FR,Production|Gaseous fuel|LNG,%,43,37.8,19.8,0,0
Sobriety - M0,FR,Production|Gaseous fuel|Low to high,%,1,1,1,1,1
Sobriety - M0,FR,Production|Liquid fuel|Diesel|Biodiesel,%,7,12,56,100,100
Sobriety - M0,FR,Production|Liquid fuel|Diesel|Diesel,%,93,88,44,0,0
Sobriety - M0,FR,Production|Liquid fuel|Petrol|Bioethanol,%,7,12,56,100,100
Sobriety - M0,FR,Production|Liquid fuel|Petrol|Petrol,%,93,88,44,0,0
Sobriety - M1,FR,Distribution losses|Electricity|Low to medium,TWh/year,1,0.973,0.973,0.973,0.973
Sobriety - M1,FR,Distribution losses|Gaseous fuel|Low to high,PJ/year,1,0.9975,0.9975,0.9975,0.9975
Sobriety - M1,FR,Transmission losses|Electricity|Medium to high,TWh/year,1,0.935,0.935,0.935,0.935
Sobriety - M1,FR,Efficiency|Electricity|Hydrogen|Fuel cell,%,50,58,62,64,65
Sobriety - M1,FR,Production|Electricity|Low to medium,TWh/year,1,1,1,1,1
Sobriety - M1,FR,Production|Electricity|Medium to high,TWh/year,1,1,1,1,1
Sobriety - M1,FR,Production|Electricity|Import,TWh/year,2.035906643,2.902977413,11.26444169,37.36904145,62.46226252
Sobriety - M1,FR,Consumption|Electricity|Export,TWh/year,58.73590664,78.30297741,84.36444169,58.06904145,97.06226252
Sobriety - M1,FR,Production|Electricity|Total without production from flexibility,TWh/year,532.9,569.55,606.2,604.9,638.1
Sobriety - M1,FR,Production|Electricity|Conventional|Coal,TWh/year,1.423648995,0.690014253,0,0,0
Sobriety - M1,FR,Production|Electricity|Conventional|Fuel oil,TWh/year,2.04649543,0.991895489,0,0,0
Sobriety - M1,FR,Production|Electricity|Conventional|Natural gas,TWh/year,34.345532,17.50911168,1.72166136,0.452001123,0
Sobriety - M1,FR,Production|Electricity|Conventional|Waste,TWh/year,1.957517368,1.725035634,1.549495224,1.627204043,1.526199542
Sobriety - M1,FR,Production|Electricity|Hydro|Reservoir,TWh/year,7.687704572,8.059366481,8.649626674,9.083414567,8.519584996
Sobriety - M1,FR,Production|Electricity|Run-of-river hydro,TWh/year,40.36044901,42.31167402,45.41054004,47.68792648,44.72782123
Sobriety - M1,FR,Production|Electricity|Nuclear|Evolutionary Power Reactor,TWh/year,0,0,0,0,0
Sobriety - M1,FR,Production|Electricity|Nuclear|Pressure water reactor,TWh/year,337.2268557,269.7524472,212.1947627,83.0778064,8.818041796
Sobriety - M1,FR,Production|Electricity|Nuclear|Small Modular Reactor,TWh/year,0,0,0,0,0
Sobriety - M1,FR,Production|Electricity|Renewable|Biomass,TWh/year,8.630872032,8.409548714,8.436140666,8.85922201,8.309308615
Sobriety - M1,FR,Production|Electricity|Renewable|Photovoltaic,TWh/year,10.32145521,58.43558209,106.6569213,185.2300602,213.0744138
Sobriety - M1,FR,Production|Electricity|Renewable|Sea,TWh/year,0,0.603762472,1.205162952,2.621606513,2.458877039
Sobriety - M1,FR,Production|Electricity|Renewable|Wind turbines|Offshore,TWh/year,0,30.87813784,61.6354767,113.5426821,142.6996571
Sobriety - M1,FR,Production|Electricity|Renewable|Wind turbines|Onshore,TWh/year,30.16356308,51.88044668,74.37577077,94.64903515,110.9038334
Sobriety - M1,FR,Production|Electricity|Storage|Hydro|Pumped storage,TWh/year,5.5,9.2,12.9,15.9,16.7
Sobriety - M1,FR,Production|Electricity|Storage|Hydrogen,TWh/year,0,0,0,5.8,10.1
Sobriety - M1,FR,Production|Gaseous fuel|Biomethane,%,0.1,12,54,100,100
Sobriety - M1,FR,Production|Gaseous fuel|CNG,%,56.9,50.2,26.2,0,0
Sobriety - M1,FR,Production|Gaseous fuel|LNG,%,43,37.8,19.8,0,0
Sobriety - M1,FR,Production|Gaseous fuel|Low to high,%,1,1,1,1,1
Sobriety - M1,FR,Production|Liquid fuel|Diesel|Biodiesel,%,7,12,56,100,100
Sobriety - M1,FR,Production|Liquid fuel|Diesel|Diesel,%,93,88,44,0,0
Sobriety - M1,FR,Production|Liquid fuel|Petrol|Bioethanol,%,7,12,56,100,100
Sobriety - M1,FR,Production|Liquid fuel|Petrol|Petrol,%,93,88,44,0,0
Sobriety - M23,FR,Distribution losses|Electricity|Low to medium,TWh/year,1,0.973,0.973,0.973,0.973
Sobriety - M23,FR,Distribution losses|Gaseous fuel|Low to high,PJ/year,1,0.9975,0.9975,0.9975,0.9975
Sobriety - M23,FR,Transmission losses|Electricity|Medium to high,TWh/year,1,0.935,0.935,0.935,0.935
Sobriety - M23,FR,Efficiency|Electricity|Hydrogen|Fuel cell,%,50,58,62,64,65
Sobriety - M23,FR,Production|Electricity|Low to medium,TWh/year,1,1,1,1,1
Sobriety - M23,FR,Production|Electricity|Medium to high,TWh/year,1,1,1,1,1
Sobriety - M23,FR,Production|Electricity|Import,TWh/year,2.035906643,2.902977413,8.059679767,30.72025932,58.5828201
Sobriety - M23,FR,Consumption|Electricity|Export,TWh/year,58.73590664,78.30297741,87.15967977,47.92025932,91.3828201
Sobriety - M23,FR,Production|Electricity|Total without production from flexibility,TWh/year,532.9,567.5,602.1,597.4,621.8
Sobriety - M23,FR,Production|Electricity|Conventional|Coal,TWh/year,1.423648995,0.689616948,0,0,0
Sobriety - M23,FR,Production|Electricity|Conventional|Fuel oil,TWh/year,2.04649543,0.991324363,0,0,0
Sobriety - M23,FR,Production|Electricity|Conventional|Natural gas,TWh/year,34.345532,17.455929,1.624956998,0.367914122,0
Sobriety - M23,FR,Production|Electricity|Conventional|Waste,TWh/year,1.957517368,1.72404237,1.539432945,1.655613547,1.535463049
Sobriety - M23,FR,Production|Electricity|Hydro|Reservoir,TWh/year,7.687704572,8.054725954,8.593456797,9.227286171,8.557647393
Sobriety - M23,FR,Production|Electricity|Run-of-river hydro,TWh/year,40.36044901,42.28731126,45.11564819,48.4432524,44.92764881
Sobriety - M23,FR,Production|Electricity|Nuclear|Evolutionary Power Reactor,TWh/year,0,0,0,0,0
Sobriety - M23,FR,Production|Electricity|Nuclear|Pressure water reactor,TWh/year,337.2268557,270.1143384,211.8430781,84.62024798,8.956867785
Sobriety - M23,FR,Production|Electricity|Nuclear|Small Modular Reactor,TWh/year,0,0,0,0,0
Sobriety - M23,FR,Production|Electricity|Renewable|Biomass,TWh/year,8.630872032,8.404706556,8.381357147,9.01389598,8.359743266
Sobriety - M23,FR,Production|Electricity|Renewable|Photovoltaic,TWh/year,10.32145521,40.9460063,71.3270598,114.973163,132.0498222
Sobriety - M23,FR,Production|Electricity|Renewable|Sea,TWh/year,0,1.853345548,3.677534258,8.002132146,9.809902813
Sobriety - M23,FR,Production|Electricity|Renewable|Wind turbines|Offshore,TWh/year,0,40.47189464,80.30708532,156.6394373,189.71499
Sobriety - M23,FR,Production|Electricity|Renewable|Wind turbines|Onshore,TWh/year,30.16356308,56.20378127,82.53071068,116.536798,126.5050945
Sobriety - M23,FR,Production|Electricity|Storage|Hydro|Pumped storage,TWh/year,5.5,8.85,12.2,14.6,15.5
Sobriety - M23,FR,Production|Electricity|Storage|Hydrogen,TWh/year,0,0,0,5,7
Sobriety - M23,FR,Production|Gaseous fuel|Biomethane,%,0.1,12,54,100,100
Sobriety - M23,FR,Production|Gaseous fuel|CNG,%,56.9,50.2,26.2,0,0
Sobriety - M23,FR,Production|Gaseous fuel|LNG,%,43,37.8,19.8,0,0
Sobriety - M23,FR,Production|Gaseous fuel|Low to high,%,1,1,1,1,1
Sobriety - M23,FR,Production|Liquid fuel|Diesel|Biodiesel,%,7,12,56,100,100
Sobriety - M23,FR,Production|Liquid fuel|Diesel|Diesel,%,93,88,44,0,0
Sobriety - M23,FR,Production|Liquid fuel|Petrol|Bioethanol,%,7,12,56,100,100
Sobriety - M23,FR,Production|Liquid fuel|Petrol|Petrol,%,93,88,44,0,0
Sobriety - N03,FR,Distribution losses|Electricity|Low to medium,TWh/year,1,0.973,0.973,0.973,0.973
Sobriety - N03,FR,Distribution losses|Gaseous fuel|Low to high,PJ/year,1,0.9975,0.9975,0.9975,0.9975
Sobriety - N03,FR,Efficiency|Electricity|Hydrogen|Fuel cell,%,50,58,62,64,65
Sobriety - N03,FR,Transmission losses|Electricity|Medium to high,TWh/year,1,0.935,0.935,0.935,0.935
Sobriety - N03,FR,Production|Electricity|Low to medium,TWh/year,1,1,1,1,1
Sobriety - N03,FR,Production|Electricity|Medium to high,TWh/year,1,1,1,1,1
Sobriety - N03,FR,Production|Electricity|Import,TWh/year,2.035906643,3.611396304,5.922826855,23.55480363,52.83915408
Sobriety - N03,FR,Consumption|Electricity|Export,TWh/year,58.73590664,97.4113963,83.52282686,38.35480363,86.03915408
Sobriety - N03,FR,Production|Electricity|Total without production from flexibility,TWh/year,532.9,567.6,602.3,582.4,597.1
Sobriety - N03,FR,Production|Electricity|Conventional|Coal,TWh/year,1.423648995,0.662704163,0,0,0
Sobriety - N03,FR,Production|Electricity|Conventional|Fuel oil,TWh/year,2.04649543,0.952637234,0,0,0
Sobriety - N03,FR,Production|Electricity|Conventional|Natural gas,TWh/year,34.345532,16.77469913,1.636521051,0,0
Sobriety - N03,FR,Production|Electricity|Conventional|Waste,TWh/year,1.957517368,1.656760408,1.550388364,1.681458368,1.540628911
Sobriety - N03,FR,Production|Electricity|Hydro|Reservoir,TWh/year,7.687704572,7.740384625,8.654612379,9.386274267,8.600132942
Sobriety - N03,FR,Production|Electricity|Run-of-river hydro,TWh/year,40.36044901,40.63701928,45.43671499,49.2779399,45.15069795
Sobriety - N03,FR,Production|Electricity|Nuclear|Evolutionary Power Reactor,TWh/year,0,18.43145954,38.32904567,153.2929545,237.5136238
Sobriety - N03,FR,Production|Electricity|Nuclear|Pressure water reactor,TWh/year,337.2268557,293.2880112,283.4626726,139.934702,23.53738614
Sobriety - N03,FR,Production|Electricity|Nuclear|Small Modular Reactor,TWh/year,0,2.816492693,5.857022709,25.78236164,36.46155089
Sobriety - N03,FR,Production|Electricity|Renewable|Biomass,TWh/year,8.630872032,8.076706987,8.441003315,9.15460667,8.387868515
Sobriety - N03,FR,Production|Electricity|Renewable|Photovoltaic,TWh/year,10.32145521,24.56147304,41.08529165,50.07009362,45.87650534
Sobriety - N03,FR,Production|Electricity|Renewable|Sea,TWh/year,0,0,0,0,0
Sobriety - N03,FR,Production|Electricity|Renewable|Wind turbines|Offshore,TWh/year,0,11.92867494,24.80621382,35.9645262,40.31312317
Sobriety - N03,FR,Production|Electricity|Renewable|Wind turbines|Onshore,TWh/year,30.16356308,42.6615805,59.51768664,69.50027921,63.67932831
Sobriety - N03,FR,Production|Electricity|Storage|Hydro|Pumped storage,TWh/year,5.5,7.5,9.5,10.5,10.4
Sobriety - N03,FR,Production|Electricity|Storage|Hydrogen,TWh/year,0,0,0,0,0
Sobriety - N03,FR,Production|Gaseous fuel|Biomethane,%,0.1,12,54,100,100
Sobriety - N03,FR,Production|Gaseous fuel|CNG,%,56.9,50.2,26.2,0,0
Sobriety - N03,FR,Production|Gaseous fuel|LNG,%,43,37.8,19.8,0,0
Sobriety - N03,FR,Production|Gaseous fuel|Low to high,%,1,1,1,1,1
Sobriety - N03,FR,Production|Liquid fuel|Diesel|Biodiesel,%,7,12,56,100,100
Sobriety - N03,FR,Production|Liquid fuel|Diesel|Diesel,%,93,88,44,0,0
Sobriety - N03,FR,Production|Liquid fuel|Petrol|Bioethanol,%,7,12,56,100,100
Sobriety - N03,FR,Production|Liquid fuel|Petrol|Petrol,%,93,88,44,0,0
Sobriety - N1,FR,Distribution losses|Electricity|Low to medium,TWh/year,1,0.973,0.973,0.973,0.973
Sobriety - N1,FR,Distribution losses|Gaseous fuel|Low to high,PJ/year,1,0.9975,0.9975,0.9975,0.9975
Sobriety - N1,FR,Transmission losses|Electricity|Medium to high,TWh/year,1,0.935,0.935,0.935,0.935
Sobriety - N1,FR,Efficiency|Electricity|Hydrogen|Fuel cell,%,50,58,62,64,65
Sobriety - N1,FR,Production|Electricity|Low to medium,TWh/year,1,1,1,1,1
Sobriety - N1,FR,Production|Electricity|Medium to high,TWh/year,1,1,1,1,1
Sobriety - N1,FR,Production|Electricity|Import,TWh/year,2.035906643,2.902977413,6.908296943,31.97050243,61.08330632
Sobriety - N1,FR,Consumption|Electricity|Export,TWh/year,58.73590664,78.30297741,74.70829694,49.87050243,95.28330632
Sobriety - N1,FR,Production|Electricity|Total without production from flexibility,TWh/year,532.9,565.35,597.8,583.9,605.2
Sobriety - N1,FR,Production|Electricity|Conventional|Coal,TWh/year,1.423648995,0.689197166,0,0,0
Sobriety - N1,FR,Production|Electricity|Conventional|Fuel oil,TWh/year,2.04649543,0.990720927,0,0,0
Sobriety - N1,FR,Production|Electricity|Conventional|Natural gas,TWh/year,34.345532,17.44530328,1.662553088,0.365836272,0
Sobriety - N1,FR,Production|Electricity|Conventional|Waste,TWh/year,1.957517368,1.722992916,1.575050294,1.646263223,1.516606161
Sobriety - N1,FR,Production|Electricity|Hydro|Reservoir,TWh/year,7.687704572,8.049822905,8.79228075,9.189807144,8.466032614
Sobriety - N1,FR,Production|Electricity|Run-of-river hydro,TWh/year,40.36044901,42.26157025,46.15947394,48.24648751,44.44667122
Sobriety - N1,FR,Production|Electricity|Nuclear|Evolutionary Power Reactor,TWh/year,0,18.65139832,37.88870984,83.04483367,109.0271318
Sobriety - N1,FR,Production|Electricity|Nuclear|Pressure water reactor,TWh/year,337.2268557,272.1898059,221.2945662,85.14839223,8.846869272
Sobriety - N1,FR,Production|Electricity|Nuclear|Small Modular Reactor,TWh/year,0,0,0,0,0
Sobriety - N1,FR,Production|Electricity|Renewable|Biomass,TWh/year,8.630872032,8.399590467,8.575273821,8.962988656,8.257077988
Sobriety - N1,FR,Production|Electricity|Renewable|Photovoltaic,TWh/year,10.32145521,37.08742252,65.1895816,98.04412081,113.4084385
Sobriety - N1,FR,Production|Electricity|Renewable|Sea,TWh/year,0,0,0,0,0
Sobriety - N1,FR,Production|Electricity|Renewable|Wind turbines|Offshore,TWh/year,0,29.07550546,59.06438601,107.6473229,116.4416508
Sobriety - N1,FR,Production|Electricity|Renewable|Wind turbines|Onshore,TWh/year,30.16356308,50.48369244,72.88982748,91.73344512,99.50621534
Sobriety - N1,FR,Production|Electricity|Storage|Hydro|Pumped storage,TWh/year,5.5,8.4,11.3,14.2,15.5
Sobriety - N1,FR,Production|Electricity|Storage|Hydrogen,TWh/year,0,0,0,0,2.2
Sobriety - N1,FR,Production|Gaseous fuel|Biomethane,%,0.1,12,54,100,100
Sobriety - N1,FR,Production|Gaseous fuel|CNG,%,56.9,50.2,26.2,0,0
Sobriety - N1,FR,Production|Gaseous fuel|LNG,%,43,37.8,19.8,0,0
Sobriety - N1,FR,Production|Gaseous fuel|Low to high,%,1,1,1,1,1
Sobriety - N1,FR,Production|Liquid fuel|Diesel|Biodiesel,%,7,12,56,100,100
Sobriety - N1,FR,Production|Liquid fuel|Diesel|Diesel,%,93,88,44,0,0
Sobriety - N1,FR,Production|Liquid fuel|Petrol|Bioethanol,%,7,12,56,100,100
Sobriety - N1,FR,Production|Liquid fuel|Petrol|Petrol,%,93,88,44,0,0
Sobriety - N2,FR,Distribution losses|Electricity|Low to medium,TWh/year,1,0.973,0.973,0.973,0.973
Sobriety - N2,FR,Distribution losses|Gaseous fuel|Low to high,PJ/year,1,0.9975,0.9975,0.9975,0.9975
Sobriety - N2,FR,Transmission losses|Electricity|Medium to high,TWh/year,1,0.935,0.935,0.935,0.935
Sobriety - N2,FR,Efficiency|Electricity|Hydrogen|Fuel cell,%,50,58,62,64,65
Sobriety - N2,FR,Production|Electricity|Low to medium,TWh/year,1,1,1,1,1
Sobriety - N2,FR,Production|Electricity|Medium to high,TWh/year,1,1,1,1,1
Sobriety - N2,FR,Production|Electricity|Import,TWh/year,2.035906643,2.902977413,11.85584608,24.31518072,39.44462651
Sobriety - N2,FR,Consumption|Electricity|Export,TWh/year,58.73590664,78.30297741,45.65584608,42.31518072,68.64462651
Sobriety - N2,FR,Production|Electricity|Total without production from flexibility,TWh/year,532.9,549.9,566.9,583.8,595.9
Sobriety - N2,FR,Production|Electricity|Conventional|Coal,TWh/year,1.423648995,0.686084048,0,0,0
Sobriety - N2,FR,Production|Electricity|Conventional|Fuel oil,TWh/year,2.04649543,0.986245819,0,0,0
Sobriety - N2,FR,Production|Electricity|Conventional|Natural gas,TWh/year,34.345532,17.40938272,1.838928043,0,0
Sobriety - N2,FR,Production|Electricity|Conventional|Waste,TWh/year,1.957517368,1.71521012,1.655035239,1.669531817,1.592649223
Sobriety - N2,FR,Production|Electricity|Hydro|Reservoir,TWh/year,7.687704572,8.013461682,9.23877449,9.304857326,8.876365006
Sobriety - N2,FR,Production|Electricity|Run-of-river hydro,TWh/year,40.36044901,42.07067383,48.50356607,48.85050096,46.60091628
Sobriety - N2,FR,Production|Electricity|Nuclear|Evolutionary Power Reactor,TWh/year,0,19.16747309,41.10004177,149.9796082,219.6086318
Sobriety - N2,FR,Production|Electricity|Nuclear|Pressure water reactor,TWh/year,337.2268557,273.3616129,237.6814496,87.00115801,9.644375853
Sobriety - N2,FR,Production|Electricity|Nuclear|Small Modular Reactor,TWh/year,0,0,0,0,0
Sobriety - N2,FR,Production|Electricity|Renewable|Biomass,TWh/year,8.630872032,8.361649337,9.010747413,9.089673225,8.671090217
Sobriety - N2,FR,Production|Electricity|Renewable|Photovoltaic,TWh/year,10.32145521,30.78802166,55.35173411,74.01591055,74.76603299
Sobriety - N2,FR,Production|Electricity|Renewable|Sea,TWh/year,0,0,0,0,0
Sobriety - N2,FR,Production|Electricity|Renewable|Wind turbines|Offshore,TWh/year,0,21.4401265,45.97320109,77.91148479,76.00476017
Sobriety - N2,FR,Production|Electricity|Renewable|Wind turbines|Onshore,TWh/year,30.16356308,47.59708084,70.89067608,83.66209438,81.49055194
Sobriety - N2,FR,Production|Electricity|Storage|Hydro|Pumped storage,TWh/year,5.5,7.85,10.2,12.5,13
Sobriety - N2,FR,Production|Electricity|Storage|Hydrogen,TWh/year,0,0,0,0,0
Sobriety - N2,FR,Production|Gaseous fuel|Biomethane,%,0.1,12,54,100,100
Sobriety - N2,FR,Production|Gaseous fuel|CNG,%,56.9,50.2,26.2,0,0
Sobriety - N2,FR,Production|Gaseous fuel|LNG,%,43,37.8,19.8,0,0
